responseId,LocationLatitude,LocationLongitude,2020_GISJOIN,2010_GISJOIN,2020G_FIPS,RUCC_2023,NotInUS
R_6GZxRGccUYdHEIR,42.2302,-84.4285,G26007500008004,G26007500008004,G26075,3,0
R_6IS9mZAhNGhJngt,46.2515,-119.1034,G53002100203002,G53002100203002,G53021,2,0
R_3V22JhjQLJvdDsn,44.54,-70.5627,G23001709656003,G23001709656003,G23017,6,0
R_1MlBjJ71KmiE5a7,45.0116,-93.0351,G27012300424022,G27012300424023,G27123,1,0
R_5NlaeKktolWLYIf,37.9318,-87.6602,G18016300104061,G18016300104035,G18163,2,0
R_6rBU9Bo7vNNFlef,40.3965,-80.0442,G42000304722002,G42000304722003,G42003,1,0
R_6fcwoxHDWt8KKxd,36.0897,-78.9297,G37006300016034,G37006300016032,G37063,2,0
R_1L6C7OwFsh0APRw,39.9206,-75.1826,G42010100038005,G42010100038002,G42101,1,0
R_7shIahJylYhU9Gl,42.1098,-86.4259,G26002100022002,G26002100022002,G26021,3,0
R_1ndxyd9wqfKY3IJ,39.4241,-87.6871,G17002300601001,G17002300601001,G17023,8,0
R_1VJ8dJLrMh0NHNv,36.2819,-115.1475,G32000300036611,G32000300036222,G32003,1,0
R_5QPwv26M4rFFmWR,40.7428,-73.9712,G36006100086011,G36006100062002,G36061,1,0
R_5JVkI0UDWVXA3Bf,40.7683,-73.9802,G36006100143001,G36006100143001,G36061,1,0
R_7tKhvTj3imtPB5H,34.4994,-117.2936,G06007100100373,G06007100100261,G06071,1,0
R_5kGPi4gIFlHaIwm,28.2793,-82.4628,G12010100319022,G12010100319022,G12101,1,0
R_1e879MNhnRGTSxn,26.5337,-81.7062,G12007100401384,G12007100401152,G12071,2,0
R_33f1YecjNTCJ93X,44.277,-88.4011,G55008700113002,G55008700113002,G55087,3,0
R_5PAsaTZ7D2d35De,38.7519,-76.9092,G24003308012162,G24003308012161,G24033,1,0
R_5e9LUwxIIiNMOBc,38.4819,-121.4024,G06006700051012,G06006700051012,G06067,1,0
R_3M5Jb723hPJa60i,32.8404,-97.2285,G48043901132173,G48043901132173,G48439,1,0
R_3BqRwtBWi1zImfh,27.4067,-82.5314,G12008100008052,G12008100008052,G12081,2,0
R_1pGqys1mTNcEEIp,37.5115,-77.5662,G51004101009071,G51004101009071,G51041,1,0
R_7PB8dgQ5yGu3185,31.3432,-85.844,G01003100112031,G01003100112011,G01031,4,0
R_1QPNki9ZE8KTCA1,32.4212,-86.2791,G01010100025001,G01010100025001,G01101,2,0
R_6EakrkX3qtfrucO,29.7978,-90.8097,G22005700207033,G22005700207031,G22057,3,0
R_33gzGb5OjbbGpp1,27.7363,-82.6654,G12010300202011,G12010300202011,G12103,1,0
R_68MbatKhGVN3e0H,40.2626,-75.6151,G42009102087021,G42009102087023,G42091,1,0
R_72yTJ22TQlZ5JVN,28.5531,-81.7597,G12006900313122,G12006900313054,G12069,1,0
R_5f93Jq4HGiVtJdH,30.3007,-81.4421,G12003100143313,G12003100143313,G12031,1,0
R_51YBeY3uAHtK9up,39.537,-83.455,G39004709260001,G39004709260001,G39047,6,0
R_3j2x7nFDbM3zzuQ,28.0036,-82.5592,G12005700116054,G12005700116054,G12057,1,0
R_5aaDOB82fLPOdL4,37.7154,-81.2315,G54008100010021,G54008100010021,G54081,3,0
R_7QtcFazG3pOUWpJ,37.431,-77.6554,G51004101009121,G51004101009121,G51041,1,0
R_5t9vNHNm95yuqFS,43.2971,-89.7457,G55011100006031,G55011100006002,G55111,4,0
R_1CvBuFQ4YB7sEcC,39.2619,-76.4992,G24000504202002,G24000504202002,G24005,1,0
R_3L0xXAc14sQ8E2v,29.5593,-97.9631,G48018702104002,G48018702104002,G48187,1,0
R_5kgFv0XdD80LBUT,39.4615,-77.9742,G54000309716002,G54000309716002,G54003,2,0
R_6FmhzpHaUzuuM3W,41.5663,-91.265,G19013900503001,G19013900503001,G19139,4,0
R_6YiRpZP3pFdM9mp,37.3175,-89.5459,G29003108811002,G29003108811002,G29031,3,0
R_6qaS17a8LmwqAtH,40.0345,-75.1193,G42010100273001,G42010100273002,G42101,1,0
R_5H6pQU78Pn0qhf3,30.0822,-81.5498,G12010900208083,G12010900208052,G12109,1,0
R_5up5bw8weG7Ket3,45.4094,-122.5165,G41000500223012,G41000500223012,G41005,1,0
R_3Wpc8I77p1wYgal,35.0935,-94.3304,G05013100103031,G05013100103023,G05131,3,0
R_5yqmlQj5xyqXhfC,33.4948,-117.0954,G06006500432652,G06006500432652,G06065,1,0
R_5BaZUfkyWK1wCZT,40.0923,-74.2252,G34002907155012,G34002907155001,G34029,1,0
R_7DOK6jzhw3kaRGa,39.908,-83.8354,G39002300010001,G39002300010001,G39023,3,0
R_3nkjHvQFj4eaAuM,44.8423,-93.2337,G27005300251004,G27005300251003,G27053,1,0
R_51hCtegZtOuhlWZ,32.2448,-111.0214,G04001900044132,G04001900044132,G04019,1,0
R_50c0JG9dg1tgRRD,35.229,-89.5155,G47004700604023,G47004700604042,G47047,1,0
R_38k7C08Nz2gSMH7,43.1806,-77.5948,G36005500079002,G36005500079002,G36055,1,0
R_3ePcn930GJc0L1t,33.781,-118.2622,G06003702947013,G06003702947013,G06037,1,0
R_6sDrdVGI0YHg2UV,45.3993,-122.6079,G41000500218022,G41000500218022,G41005,1,0
R_1qCdwzRuYgJtZSX,41.8768,-80.7836,G39000700005001,G39000700005001,G39007,1,0
R_30oqiK9klI49CJm,33.6276,-112.0511,G04001301036113,G04001301036113,G04013,1,0
R_5b3UFF8jUXUU6mR,39.7388,-104.9868,G08003100027041,G08003100027011,G08031,1,0
R_1YERuZgA2Lc4GvQ,35.1431,-90.0492,G47015700114022,G47015700114002,G47157,1,0
R_6jZnvyWQs9ydIck,41.2278,-73.997,G36008700101021,G36008700101021,G36087,1,0
R_5ygr4J4mPVXHfAT,43.0382,-87.91,G55007901874002,G55007901874001,G55079,1,0
R_1mZmprpZvh9ViGB,41.3495,-72.103,G09001106907001,G09001106907001,G09011,#N/A,0
R_7DM6sitWVliQKQT,29.7646,-95.3657,G48020109807001,G48020101000003,G48201,1,0
R_5myl81fYqEgkjr1,34.4129,-103.2199,G35000900002024,G35000900002024,G35009,5,0
R_6N2NjASt8F6V1X6,42.0511,-72.7706,G25001308131011,G25001308131011,G25013,2,0
R_60orgeAU15IfEae,33.9573,-118.3118,G06003702384003,G06003702384003,G06037,1,0
R_5dQjHZVUA2lc9XC,31.0065,-97.8406,G48002700233013,G48002700233002,G48027,2,0
R_7LibrzVjzjkxgBP,44.9834,-93.2622,G27005301261011,G27005301261002,G27053,1,0
R_7sSHWudW8FJYpXN,35.2227,-80.7938,G37011900012003,G37011900012003,G37119,1,0
R_1ANCSsscFLQFLcT,42.5134,-83.0647,G26009902610001,G26009902610001,G26099,1,0
R_1dQ6wPPOx4LOBA1,34.305,-79.8776,G45003100112011,G45003100112002,G45031,3,0
R_5F3dfIu102FzjvN,39.7291,-105.1897,G08005900101001,G08005900101001,G08059,1,0
R_5nlbBmJ9ecJ7cjE,34.4135,-118.093,G06003709108153,G06003709108111,G06037,1,0
R_6M2SxEQnylG6JVL,32.278,-101.4534,G48022709501001,G48022709501001,G48227,4,0
R_3dWtLhtGYBZcead,37.3197,-76.7625,G51009500803053,G51009500803012,G51095,1,0
R_6jpk2JEFybcPP7X,33.4772,-84.0554,G13015100702142,G13015100702032,G13151,1,0
R_6Nwb6QEqnqXrHSY,43.4855,-83.3846,G26015700005001,G26015700005001,G26157,6,0
R_3dDQTrx4MNckn5c,34.256,-90.6348,G28002709502001,G28002709502001,G28027,6,0
R_3gEcdkF4E0Q9f1f,35.0168,-78.3223,G37016309707011,G37016309707002,G37163,6,0
R_6hQP8nXyfJWzjtF,37.1835,-121.7714,G06008505119112,G06008505119112,G06085,1,0
R_3cYQDDlJKx0L2d0,35.8015,-80.8967,G37009700605002,G37009700605002,G37097,1,0
R_3Il67o3saXFyGWJ,45.6514,-122.6604,G53001100410111,G53001100410111,G53011,1,0
R_3jaWe3VM7dVi7Kx,42.7409,-90.491,G55004309610002,G55004309610002,G55043,6,0
R_3GDnS2ez7HfM1iw,41.4453,-81.6991,G39003501056022,G39003501056022,G39035,1,0
R_7JW9jlHC562knlA,41.9555,-87.6613,G17003108307001,G17003108307001,G17031,1,0
R_7Ov0qIgJMvE2Ltn,34.1928,-118.4886,G06003701276051,G06003701276051,G06037,1,0
R_7wGkbd5ymZP5koa,30.8648,-88.6503,G28003909503033,G28003909503012,G28039,8,0
R_2ePauz0FkKQIBq1,35.7319,-81.7091,G37002300214001,G37002300214003,G37023,2,0
R_72PPdoOxiwDMpyn,40.399,-86.8575,G18015700008002,G18015700008002,G18157,3,0
R_3aqzxuBSfgHtMLd,41.478,-87.9483,G17019708811133,G17019708811133,G17197,1,0
R_7dc2cVSbo5XnpyT,42.6484,-95.1964,G19002109604001,G19002109604001,G19021,7,0
R_1vizy0Pw0PSqBUO,41.8764,-87.6133,G17003103204001,G17003103204001,G17031,1,0
R_1zuVG2YmuS3Crcn,40.1773,-105.1009,G08001300135034,G08001300135034,G08013,2,0
R_7sPEbmTmhdCYTLz,36.2689,-88.1452,G47007909697002,G47007909697002,G47079,7,0
R_59PNqRvtCzH8Of7,40.3472,-80.1153,G42000304560032,G42000304560032,G42003,1,0
R_6RHJkeRW17ecSUV,42.6669,-88.263,G55010100026004,G55010100026004,G55101,3,0
R_52LxPvgijc5K2Qg,35.5081,-97.6403,G40010901067042,G40010901067042,G40109,1,0
R_3LBbvZkunljKI7z,40.2436,-76.8357,G42004300229012,G42004300229002,G42043,2,0
R_3v6b7VNSbphujuS,38.7401,-90.6218,G29018303113222,G29018303113222,G29183,1,0
R_7L0kYhee7dY1wnV,28.3637,-82.6759,G12010100312032,G12010100312032,G12101,1,0
R_650zFgNbiHdqoLv,42.3122,-88.4418,G17011108709051,G17011108709051,G17111,1,0
R_7n3ih6Mn5ezoQx6,33.7853,-83.7033,G13029701103021,G13029701103002,G13297,1,0
R_32mAXGNPVZIwvvY,39.5567,-75.4541,G34003300212021,G34003300220001,G34033,1,0
R_5laYqnkuKsoi15X,42.3294,-89.0325,G17020100001041,G17020100001041,G17201,2,0
R_5laAbcPcS7Cua5j,41.1526,-81.63,G39015305323012,G39015305323012,G39153,2,0
R_1MfcsRorzfdidWG,29.7376,-95.521,G48020104312051,G48020104312012,G48201,1,0
R_5azBSrd2H9EbPcP,26.3763,-81.7344,G12007100503121,G12007100503122,G12071,2,0
R_3wEo8fSY4B5FFXM,43.582,-83.873,G26001702806002,G26001702806002,G26017,3,0
R_5CfFnSFixhQOwXt,28.0699,-81.8107,G12010500131021,G12010500131021,G12105,2,0
R_5sfT5SITrgATCtr,36.0217,-79.7839,G37008100128041,G37008100128041,G37081,2,0
R_5GQCsDxSWCjP6sk,36.0571,-86.6729,G47003700156271,G47003700156271,G47037,1,0
R_6CKmkjKZe7GzcQu,47.6034,-122.3414,G53003300081022,G53003300081001,G53033,1,0
R_5fDLJAOUbanMuTi,43.4043,-94.4902,G19006300701001,G19006300701001,G19063,7,0
R_5GCwZnaAiYgb3ZZ,32.8261,-96.8345,G48011300004092,G48011300004065,G48113,1,0
R_1FIZQQzGAmgTccf,34.879,-83.992,G13029100002071,G13029100002053,G13291,8,0
R_5vjfZdC2tyLgpsI,40.5995,-75.3763,G42009500180041,G42009500180021,G42095,2,0
R_3eQHiokzcOWqusJ,41.7052,-83.6426,G39009500078012,G39009500078004,G39095,2,0
R_1CtopfNUg8Ojyil,33.1033,-96.0945,G48023109612003,G48023109612004,G48231,1,0
R_5vePgnkeVRsBsrG,40.9308,-82.0535,G39016900022003,G39016900022003,G39169,4,0
R_6ePvYYs0A9g4CSl,36.6431,-76.2476,G51055000210091,G51055000210091,G51550,1,0
R_3rO29Z7TOMtX5BV,33.9837,-84.1487,G13013500502181,G13013500502182,G13135,1,0
R_6Yfb3M01KnCWqg1,41.6227,-86.2452,G18014100118041,G18014100118022,G18141,2,0
R_5TNvl9hZ6Gd07BK,35.5092,-78.3496,G37010100408003,G37010100408002,G37101,1,0
R_70Sy36Mpdyqi78Y,29.9477,-92.2416,G22011309505005,G22011309505002,G22113,2,0
R_5m208zeY0FzN5xl,44.6554,-123.135,G41000300101012,G41000300101003,G41003,3,0
R_5jC9GVDSh71g3XX,29.9787,-95.5845,G48020105526021,G48020105526022,G48201,1,0
R_7odmhsRO3wuUZfw,47.6034,-122.3414,G53003300081022,G53003300081001,G53033,1,0
R_5Jx5E8a3UeFi7tU,40.0414,-84.2023,G39010903653015,G39010903653015,G39109,2,0
R_136I4D9Deqd0Byx,33.9718,-78.0486,G37001900202042,G37001900202042,G37019,2,0
R_75u4ntmBWaLNIeN,33.3474,-105.651,G35002709606021,G35002709606002,G35027,7,0
R_5qxQFqkaNvqgQqj,35.6211,-97.5605,G40010901083261,G40010901083153,G40109,1,0
R_7mEUOp3zD2OLXZD,41.6212,-94.0331,G19004900507002,G19004900507001,G19049,2,0
R_7pRby4429ZtNfTo,45.5496,-122.5044,G41005100095013,G41005100095011,G41051,1,0
R_52QMIdDTBhAotWf,47.6011,-122.6305,G53003500801023,G53003500801021,G53035,2,0
R_7fUG0nw35BPhSlP,34.0648,-118.086,G06003704824012,G06003704824013,G06037,1,0
R_6uJLWdWhjB94iAr,38.9301,-104.8441,G08004100037061,G08004100037061,G08041,2,0
R_7qgJm4JXek1K0q1,30.1426,-81.5727,G12003100168113,G12003100168062,G12031,1,0
R_7PIJ83UPrWO46L7,30.5179,-87.2253,G12003300035073,G12003300035073,G12033,2,0
R_3XOewzqDFnIp0M9,40.3053,-78.954,G42002100111001,G42002100111001,G42021,3,0
R_7rANc1NziZ6H1bt,42.8848,-73.191,G50000309712002,G50000309712002,G50003,6,0
R_6eIwxqwqR3aIIkf,33.0173,-96.612,G48008500313271,G48008500313132,G48085,1,0
R_67m24B1XA7LB6IA,44.9618,-93.2638,G27005300059021,G27005300059022,G27053,1,0
R_1B3xJCp3SsblqRa,37.0504,-93.3002,G29004300202023,G29004300202022,G29043,2,0
R_7letWkFybRpYUwh,34.9464,-92.0322,G05008500202062,G05008500202061,G05085,2,0
R_5h56x2TvooLt8Ax,40.4992,-74.4996,G34003500531031,G34003500531031,G34035,1,0
R_6MapOAZ3YjLiwSM,37.2557,-79.9812,G51077000031003,G51077000031003,G51770,2,0
R_58M5uPmLOC70Ayy,46.1848,-100.2285,G38002909665001,G38002909665001,G38029,8,0
R_6fCWKMvj7BVYMYU,32.2506,-110.884,G04001900029043,G04001900029043,G04019,1,0
R_7EydKqxc8lGdlGz,33.9576,-118.267,G06003702400102,G06003702400101,G06037,1,0
R_6Ok6M4HikTjLUDy,32.213,-110.8279,G04001900040691,G04001900040694,G04019,1,0
R_68J9QQU7mMeOnEB,32.7267,-103.1287,G35002500005033,G35002500005033,G35025,5,0
R_5HoFJ8A0frJXsjb,41.1696,-111.9818,G49005702111004,G49005702111004,G49057,2,0
R_17hjXS4zoMofWRX,37.964,-92.9563,G29002909508012,G29002909508002,G29029,7,0
R_1rNMmAfcYfoiBGp,32.9219,-96.6214,G48011300181052,G48011300181054,G48113,1,0
R_6JxRHznvEoUmExk,40.7706,-80.3576,G42000706007011,G42000706007003,G42007,1,0
R_5oNrATrNb8ilAeR,35.6618,-78.3993,G37010100402102,G37010100402031,G37101,1,0
R_6ryDtJPZCh2wJwd,33.8895,-84.2921,G13008900212041,G13008900212041,G13089,1,0
R_30jEad4HAV15U1w,33.7344,-84.0986,G13008900233182,G13008900233031,G13089,1,0
R_3jFdEzPYTtxsagF,36.1172,-115.0528,G32000300050072,G32000300050072,G32003,1,0
R_5iEWja1uvpzz52J,41.5516,-90.5017,G19016300136001,G19016300136001,G19163,2,0
R_3NikqXBjWkLI9X3,33.3449,-82.0829,G13024500109041,G13024500109041,G13245,2,0
R_6Pnm3cIbrK0hF17,32.7797,-96.8022,G48011300031021,G48011300031012,G48113,1,0
R_5E5l7RP2P5Iix9x,35.8846,-78.6385,G37018300540071,G37018300540071,G37183,1,0
R_5peTL1QLbiB6G48,40.4339,-79.9996,G42000300201004,G42000300201005,G42003,1,0
R_3dzVSJjrCd3fwou,28.5788,-81.4396,G12009500124031,G12009500124031,G12095,1,0
R_3im8rsZN7ebKgHn,32.48,-96.9905,G48013900608013,G48013900608013,G48139,1,0
R_1L3Az4NgILv5Mk1,35.2296,-80.843,G37011900001041,G37011900001003,G37119,1,0
R_1NmjRgVzs9FgJ4U,32.8876,-97.2132,G48043901132071,G48043901132071,G48439,1,0
R_1o2tQBZGVOjxWil,47.2476,-122.4643,G53005300613004,G53005300613005,G53053,1,0
R_36g1gxpky5aiNvL,38.6101,-90.56,G29018902178522,G29018902178522,G29189,1,0
R_6MJS7nz64uzJ7Ys,40.1025,-76.0761,G42007100128001,G42007100128001,G42071,2,0
R_7O03PBTjLMst8wy,46.9718,-124.157,G53002700002015,G53002700002002,G53027,4,0
R_7QlFJWBRS65nfji,41.7697,-87.6985,G17003106609003,G17003106609003,G17031,1,0
R_7n26E2wu3odDedy,34.0124,-118.3414,G06003702361012,G06003702361004,G06037,1,0
R_6GfRVSSy4J7AwPc,41.797,-71.8857,G09001509051011,G09001509051005,G09015,#N/A,0
R_7MGAejXdjXC5eJL,38.6841,-121.0676,G06001700307103,G06001700307103,G06017,1,0
R_5KHnwiuN7Mc1LaY,27.8044,-82.2759,G12005700139121,G12005700139121,G12057,1,0
R_6w5G142bvjrllPG,39.9233,-75.2313,G42010100067002,G42010100067004,G42101,1,0
R_5nMdP7mhwp7uTxT,44.8962,-93.1036,G27003700601032,G27003700601032,G27037,1,0
R_5psIYCt98UNi6GZ,42.9705,-78.7498,G36002900096023,G36002900096003,G36029,1,0
R_3PuT7LMP5UIwYKz,37.8371,-122.2773,G06000104009002,G06000104009002,G06001,1,0
R_6ygsv5bbbaxhFl2,30.4856,-90.0977,G22010300405013,G22010300405011,G22103,2,0
R_6dEz1Bon5wGl1hn,38.9687,-94.5696,G29009500097001,G29009500095002,G29095,1,0
R_702mOalfs5CJsEa,40.65,-112.0061,G49003501138051,G49003501138031,G49035,1,0
R_3s0VsLTc6ggmTeQ,40.2183,-77.0281,G42004100118071,G42004100118022,G42041,2,0
R_6Cek7L4MPcFKSZ4,36.5002,-80.6163,G37017109305023,G37017109305023,G37171,6,0
R_5uagX9TnkSLIEHD,39.8616,-88.9355,G17011500009001,G17011500009001,G17115,3,0
R_7V0QBPBQLw1ORe9,41.5317,-72.7949,G09000901710001,G09000901710001,G09009,#N/A,0
R_1QN6pkotNswRYh1,41.8764,-87.6133,G17003103204001,G17003103204001,G17031,1,0
R_5Ld3whPMMd17KRa,33.5157,-117.7109,G06005900423172,G06005900423172,G06059,1,0
R_1ZVnnn0bXbaeRwb,31.8767,-102.4375,G48013500027011,G48013500027001,G48135,3,0
R_3EiZF2WYQbSdAxu,34.4801,-114.3527,G04001509526004,G04001509526001,G04015,3,0
R_1gTvKNtZNqYnJAe,27.4674,-82.511,G12008100008041,G12008100008041,G12081,2,0
R_3WG47pEch8AfhNh,39.7067,-104.9694,G08003100034024,G08003100034021,G08031,1,0
R_3aepDm2fJ7vEXeG,33.5631,-84.5832,G13012100105191,G13012100105143,G13121,1,0
R_1Pe0BVK6cz3guwU,36.1348,-96.1405,G40014300093003,G40014300093003,G40143,1,0
R_7xFq2E1HXwl22qK,32.8008,-96.7884,G48011300016011,G48011300016002,G48113,1,0
R_5LQ2yW41Q0k1SAV,30.5095,-88.9735,G28004700034071,G28004700034024,G28047,2,0
R_6JVowUnSOQB7ZPn,29.9627,-90.0676,G22007100039002,G22007100039002,G22071,1,0
R_30ep4axEJrssUev,34.7981,-82.3959,G45004500021031,G45004500021031,G45045,2,0
R_5AXkZdrCfhvtTJn,35.6676,-109.0784,G04000109450014,G04000109450014,G04001,8,0
R_7vcLDhg7ae6EVpL,34.0123,-118.3757,G06003707025021,G06003707025021,G06037,1,0
R_5VOnQZpGhplILOh,32.7836,-96.8674,G48011300205002,G48011300205002,G48113,1,0
R_6gvjHSQuvZpFzCA,40.8722,-75.7392,G42002500201021,G42002500201021,G42025,2,0
R_6lnRdFbc93JuKY2,39.9758,-83.12,G39004900081721,G39004900081422,G39049,1,0
R_5f99IVK5DbPj9G0,40.674,-73.9701,G36004700159005,G36004700159001,G36047,1,0
R_3NIsuMBN9Sulvbz,35.9937,-115.2867,G32000300058771,G32000300058271,G32003,1,0
R_3mlabAZZIVCVVjg,33.4656,-111.9956,G04001301136013,G04001301136011,G04013,1,0
R_7je5YtGSNpQ6wke,41.3811,-83.6556,G39017300216013,G39017300216004,G39173,2,0
R_7R46ZBxS48cr6sW,40.2927,-76.817,G42004300223001,G42004300223001,G42043,2,0
R_6Fa0ljRieTPZepu,37.0617,-120.8632,G06004700022014,G06004700022015,G06047,2,0
R_7nPdaAL5Z6DMDc1,30.406,-86.7348,G12009100231001,G12009100231001,G12091,2,0
R_6BrmghDhfFkX98r,25.9436,-80.2264,G12008600099031,G12008600099031,G12086,1,0
R_6M0UPwfasEoyzFV,45.3993,-122.6079,G41000500218022,G41000500218022,G41005,1,0
R_66ln5DFsp0dmaXf,27.9654,-82.4307,G12005700035001,G12005700035002,G12057,1,0
R_6qqDdso692TWvQ3,32.2108,-95.8438,G48021309513004,G48021309513004,G48213,4,0
R_6C5a1PBICTLTBtf,36.213,-86.3011,G47018900306001,G47018900306001,G47189,1,0
R_5zMvcc8aIN3Xeqk,39.2947,-85.2292,G18013709685002,G18013709685002,G18137,6,0
R_1kbm1WL6gy3vOnL,36.7943,-119.8856,G06001900038101,G06001900038101,G06019,1,0
R_6NwfgYNRNqlOgfp,39.6933,-104.7865,G08000500827002,G08000500827002,G08005,1,0
R_6FnVfSfxNtF70Fr,34.8323,-92.3287,G05011900043024,G05011900043024,G05119,2,0
R_610ahIjZjYWciUx,47.3236,-122.3187,G53003300302043,G53003300302025,G53033,1,0
R_5fiHVszVbyPb67l,30.6601,-88.1665,G01009700037071,G01009700037071,G01097,2,0
R_77P4LlCztuQBetH,35.4145,-119.0403,G06002900002023,G06002900002007,G06029,2,0
R_6RaAVzePS8JvdWj,29.7388,-95.8309,G48015706731081,G48015706731011,G48157,1,0
R_5BldzcpiqWY52og,29.5554,-81.2207,G12003500602192,G12003500602053,G12035,2,0
R_6Cwvs2tnI8qezrz,37.9227,-83.261,G21017509504002,G21017509504002,G21175,9,0
R_55LZ9lO9K7oQDsy,40.6596,-111.9195,G49003501121024,G49003501121005,G49035,1,0
R_6oiny3cEbe4kzyp,39.1134,-94.674,G20020900415001,G20020900415001,G20209,1,0
R_6rNCE3MMJV9mgZ4,33.9764,-117.3341,G06006500465025,G06006500465004,G06065,1,0
R_6WTav1wRTlI24BH,42.2309,-88.3379,G17011108712011,G17011108712011,G17111,1,0
R_7ZD2NBCBMXtplch,36.1988,-86.7881,G47003700127021,G47003700127021,G47037,1,0
R_1VamGVnPSJCFCaX,38.9034,-76.9882,G11000100088023,G11000100088023,G11001,1,0
R_6pm3pGGqHtjtdMF,30.3876,-85.6769,G12000500002012,G12000500002011,G12005,3,0
R_5mKPfgnA8LDlK0U,40.2616,-76.6468,G42004300241021,G42004300241021,G42043,2,0
R_7TS6QL6OEgihpHr,29.0508,-81.2845,G12012700903043,G12012700903043,G12127,2,0
R_3JkrxA4lch47Y0F,33.792,-84.2049,G13008900219162,G13008900219094,G13089,1,0
R_3Cyebt8X7DmjYVs,34.6906,-118.1417,G06003709008062,G06003709008062,G06037,1,0
R_5rM3gOQA7xPMG5d,30.4105,-88.8963,G28004700039021,G28004700039002,G28047,2,0
R_3rP5izQWTcrHO10,41.5596,-87.835,G17003108241261,G17003108241173,G17031,1,0
R_7axSP09Ig1o2A6J,61.2049,-149.8096,G02002000016012,G02002000016012,G02020,2,0
R_7eR66ouBkVQHNqd,34.1534,-117.3994,G06007100027052,G06007100027052,G06071,1,0
R_7pV519i1Lq7dqJH,40.9098,-74.6585,G34002700454024,G34002700454024,G34027,1,0
R_3Bd2r5b2YWjLUd3,35.1344,-118.448,G06002900061013,G06002900061004,G06029,2,0
R_6Il4Fo44P7k3aX7,35.2522,-80.8263,G37011900052002,G37011900052002,G37119,1,0
R_1fp81yFL3YkMjes,36.9102,-121.7564,G06008701103011,G06008701103002,G06087,2,0
R_7DTiyALZ5CmKIeD,41.8957,-87.9435,G17004308429003,G17004308429003,G17043,1,0
R_7dMTTUNf7xEMB0s,36.1506,-115.1805,G32000300010063,G32000300010063,G32003,1,0
R_1NEPtaa4HI16NrM,28.0036,-82.5592,G12005700116054,G12005700116054,G12057,1,0
R_7Lq9jQo487SafJL,41.6868,-81.3399,G39008502030002,G39008502030002,G39085,1,0
R_1qJOEHClk5kOdab,41.4425,-82.7011,G39004300412003,G39004300412003,G39043,3,0
R_7fd4z9gNoPc2Oty,42.9813,-83.7349,G26004900109121,G26004900109121,G26049,2,0
R_7sb6GXvxWjwC17K,47.1416,-119.2894,G53002500109031,G53002500109021,G53025,5,0
R_5B5lX2uJT4f3fxv,36.1042,-96.0244,G40014300047001,G40014300047001,G40143,1,0
R_5oR6sRy3z359DD3,28.6344,-81.6221,G12009509900000,G12009509900000,G12095,1,0
R_5o2cH352e8ikAaT,26.2662,-81.7164,G12002100104353,G12002100104152,G12021,2,0
R_5pKXyBQEVom53Zi,33.3708,-84.8154,G13007701707011,G13007701707003,G13077,1,0
R_6TAx7yzwdf681fC,61.2049,-149.8096,G02002000016012,G02002000016012,G02020,2,0
R_5fvUNj1HpGUkz4d,37.8075,-122.2644,G06000104034011,G06000104034001,G06001,1,0
R_1nCKLzxJlmDPNz4,39.37,-76.6745,G24051002715013,G24051002715015,G24510,1,0
R_1HN6qyHz8BSaEAR,41.8764,-87.6133,G17003103204001,G17003103204001,G17031,1,0
R_6rVAzSy8S0dSmiW,40.3695,-80.6348,G39008100014002,G39008100006001,G39081,3,0
R_7DwZg4q4yUzetMJ,39.8401,-105.0027,G08000100093062,G08000100093062,G08001,1,0
R_5SczWmT48LLpAuE,42.2595,-89.1329,G17020100022001,G17020100022001,G17201,2,0
R_7Bsoo03PKWZRr7t,38.5347,-121.4442,G06006700030023,G06006700030005,G06067,1,0
R_3kXW2A4QBKQPPY5,40.6915,-73.8533,G36008100018001,G36008100018001,G36081,1,0
R_11oCVmNeuQ4vIzf,44.0755,-116.9247,G16007509601004,G16007509601004,G16075,6,0
R_3DdKd8CtX7O1YVL,36.1549,-116.0177,G32002309604053,G32002309604051,G32023,4,0
R_3uxGgp7BCcgKq8p,33.4125,-84.3012,G13015100705032,G13015100705011,G13151,1,0
R_5ERyxKQSND5z7Z7,34.2601,-118.5789,G06003701131022,G06003701131022,G06037,1,0
R_5o6fENlqBkDGINj,34.5102,-93.0638,G05005100108002,G05005100108002,G05051,3,0
R_1eVmevrm0U2n3q8,42.4261,-83.2514,G26016305412002,G26016305412001,G26163,1,0
R_32V5nw4gpOIWU94,43.2441,-82.5194,G26015109707001,G26015109707001,G26151,8,0
R_5KkkR4YWQhKbxct,33.5337,-80.5744,G45007500104003,G45007500104001,G45075,4,0
R_3wcwHzFTHE20jGx,40.6199,-74.3111,G34003900363012,G34003900363012,G34039,1,0
R_3pGTpKw8FVS2TMm,30.223,-81.7595,G12003100135253,G12003100135213,G12031,1,0
R_6nDztAjwu5rLdVp,41.6099,-87.6544,G17003108273003,G17003108273003,G17031,1,0
R_3SesL3mc8RVIyzS,34.1048,-82.8473,G13010500005021,G13010500005001,G13105,6,0
R_6H3BNlonlcfCCop,38.8557,-77.1486,G51005904516022,G51005904516022,G51059,1,0
R_1rImRm1u7FoPY5i,33.7422,-96.5515,G48018100007001,G48018100007001,G48181,3,0
R_6afbuoaOJJ09r7b,34.7448,-92.2883,G05011900044002,G05011900044002,G05119,2,0
