IPAddress,Duration (in seconds),responseId,LocationLatitude,LocationLongitude,Q2,Q3,Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q10_1,Q10_2,Q10_3,Q10_4,Q14_14,Q10_13,Q10_12,Q10_5,Q10_7,Q10_6,Q10_8,Q10_9,Q10_10,Q10_11,Q14b_1,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q109,Q113,Q114,Q116,Q117,Q16_1,Q16_2,Q17,Q20#1_1_1,Q20#1_2_1,Q20#1_3_1,Q20#1_4_1,Q20#1_5_1,Q20#1_6_1,Q20#1_7_1,Q20#1_8_1,Q20#1_9_1,Q20#1_10_1,Q20#1_11_1,Q20#1_12_1,Q20#1_13_1,Q20#1_14_1,Q20#2_1,Q20#2_2,Q20#2_3,Q20#2_4,Q20#2_5,Q20#2_6,Q20#2_7,Q20#2_8,Q20#2_9,Q20#2_10,Q20#2_11,Q20#2_12,Q20#2_13,Q20#2_14,Q118,Q22#1_1_1,Q22#1_2_1,Q22#1_3_1,Q22#1_4_1,Q22#1_5_1,Q22#1_6_1,Q22#1_7_1,Q22#1_8_1,Q22#1_9_1,Q22#1_10_1,Q22#1_11_1,Q22#1_12_1,Q22#1_13_1,Q22#1_14_1,Q22#2_1,Q22#2_2,Q22#2_3,Q22#2_4,Q22#2_5,Q22#2_6,Q22#2_7,Q22#2_8,Q22#2_9,Q22#2_10,Q22#2_11,Q22#2_12,Q22#2_13,Q22#2_14,Q119,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q25,Q26,Attn check 1,Q28_2,Q28_3,Q30_1,Q30_2,Q31_1,Q31_2,Q32,Q33,Q34,Q103,Q104,Attn check 2,Q37,Q38,Q39,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q21_1,Q21_2,Q21_12,Q21_13,Q21_14,Q21_16,Q21_15,Q22_6,Q22_8,Q24 w attn check_1,Q24 w attn check_2,Q24 w attn check_3,Q24 w attn check_4,Q24 w attn check_5,Q24 w attn check_6,Q102,Q48,Q49,Q50,Q51,Q52_1,Q52_2,Q101,aid
104.10.81.95,1478,R_18SwUWFdae9ECzu,31,-98,1,1,45,2,6,2,12,9,9,10,60,10,10,10,0,"1,2","1,2",5,"1,2",5,"1,2",5,5,5,5,5,5,"1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,50,100,,10,,85,,,,,,,0,25,3,3,,3,,3,,,,,,,3,3,,50,100,,10,,85,,,,,,,0,25,3,3,,3,,3,,,,,,,3,3,,2,2,4,2,4,2,4,4,4,4,4,4,3,2,15,,3,30,20,120,100,31,20,1,2,6,2,,2,3,3,2,,2,2,1,1,1,4,4,4,4,6,4,4,7,7,5,7,5,6,7,7,4,"4,5,7",6,2,1,78642,2567,709,1,6596282a-5739-15d4-9f12-9d9e01b4fdbe
170.39.170.243,558,R_190VvBXtadHaQNj,38,-122,1,1,5,2,4,6,12,4,7,20,25,20,20,20,10,"1,2","1,2","1,2",5,"1,2",5,"1,2",5,5,5,5,"1,2","1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,50,20,50,,10,,60,,,,,20,10,15,3,3,3,,2,,3,,,,,3,3,3,4,20,20,30,,0,,30,,,,,20,10,20,3,3,3,,3,,3,,,,,3,3,3,,3,2,2,4,2,4,1,1,4,4,4,2,2,1,15,,3,37,40,60,60,62,71,5,1,8,11,3,2,3,3,2,,2,2,4,1,1,4,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,"1,5,6",8,1,1,94102,191,229,3,659b8204-5388-ef6a-3c57-822bd743aeb5
172.56.164.74,949,R_190nqXiX9AU8Ipa,41,-74,1,1,33,2,3,1,3,8,8,30,100,20,30,100,30,"1,2",5,5,"1,2",2,"1,2","1,2",5,5,5,5,1,"1,2",5,,4,4,"1,2",4,"1,2",1,4,,1,1,,,1,1,1,230,,,12,,20,30,,,,,100,50,,2,,,3,,3,3,,,,,3,"1,2",,4,120,,,10,75,25,30,,,,,,60,,2,,,3,2,3,3,,,,,,2,,4,1,1,2,1,1,1,1,3,4,4,4,1,1,1,15,,3,81,58,59,42,50,54,1,1,8,"1,3,5",,2,3,3,2,,2,2,4,2,3,1,4,5,4,6,6,5,6,5,7,4,4,4,4,7,4,"4,6,7",7,4,3,10918,1861,221,2,65ac4154-01d8-6d65-9f1f-2f85866cd649
68.230.194.202,520,R_191fsSn81yAtHWr,37,-77,1,1,48,2,4,1,12,11,11,5,25,10,0,35,0,"1,2",5,5,5,5,5,5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,75,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,,3,20,20,31,33,28,30,5,1,4,1,,2,3,1,1,2,1,1,4,4,2,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,3,2,23185,2867,2914,2,659b283d-e256-1dc8-4876-b57339dc710a
34.99.125.75,628,R_19W4K5OOdsIHaWB,33,-85,1,1,10,3,3,4,12,11,10,30,50,50,25,25,40,"1,2","1,2",5,"1,2","1,2","1,2",5,"1,2",5,5,5,"1,2","1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,70,150,,20,20,20,,0,,,,20,150,300,3,3,,3,3,3,,3,,,,3,1,2,4,70,150,,20,20,20,,0,,,,0,250,400,3,3,,3,3,3,,3,,,,3,1,2,4,1,2,3,1,1,3,1,3,4,4,4,2,3,3,20,Roadside signage,3,40,25,145,100,124,106,5,1,8,"1,2,6,7",,2,2,2,3,,2,3,1,2,3,4,5,6,6,7,3,7,5,7,2,5,5,5,2,7,7,"4,5,6",7,1,1,32607,330,331,2,65ad7f1e-8c24-9211-b689-2483ac925dfe
108.67.97.144,1248,R_19WMedtdTnxHG37,42,-83,1,1,23,2,4,2,12,11,11,40,80,30,25,20,25,"1,2","1,2",5,5,5,5,"1,2",5,5,5,5,"1,2","1,2",5,,"1,2","1,2",4,4,4,4,4,,,,,,,,,150,100,,,,,100,,,,,50,100,,3,3,,,,,3,,,,,3,3,,,150,100,,,,,100,,,,,50,100,,3,3,,,,,3,,,,,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,Drove by it.,3,39,39,74,74,74,76,5,1,8,1,,2,3,2,2,,2,2,4,1,1,5,6,5,5,7,4,4,7,5,6,7,5,4,3,7,4,"1,4,5",7,4,3,48066,1254,1304,2,65a0fcd9-b581-79b9-abc0-2504a618e430
172.76.40.167,1144,R_19d0weGR6Opj0HG,46,-94,1,1,24,1,6,1,12,11,11,20,75,20,10,20,15,"1,2","1,2",5,5,"1,2",5,"1,2",5,5,5,5,5,"1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,120,25,,,25,,50,,,,,,15,50,3,3,,,2,,3,,,,,,3,3,3,100,25,,,20,,40,,,,,,10,40,3,3,,,2,,3,,,,,,3,3,3,2,4,4,4,2,4,2,4,4,4,4,4,2,2,15,,3,20,20,90,90,120,120,5,3,6,1,,2,3,3,2,,2,2,1,2,1,6,1,1,6,6,2,1,6,2,2,6,6,3,2,7,4,"4,5,7",5,4,1,55702,1338,1407,1,659abf38-4ead-f435-b955-9d6fee8fd055
98.20.66.172,490,R_19ixWsmeUoHbf2v,31,-94,1,1,45,1,3,1,12,8,8,54,121,56,53,43,42,1,"1,2",1,2,1,1,1,2,"1,2","1,2",2,"1,2",1,2,walmart,2,1,4,1,4,4,4,,,,,,,,,123,65,45,,44,34,23,,22,0,,34,34,,3,3,3,,1,3,3,,3,3,,3,3,,,,34,,32,,,,23,22,0,16,33,,34,,3,,3,,,,3,3,3,3,3,,3,,2,2,1,2,1,1,2,1,2,1,1,1,2,2,15,,3,22,28,112,125,84,89,1,1,8,"4,7,8",,2,3,3,2,,2,2,4,2,2,4,6,6,6,6,6,6,6,6,6,7,6,6,6,7,6,"4,5,7",7,3,2,75948,2567,2769,2,65ab2fc2-fb91-6857-c0f6-38cfd6b2af15
24.98.201.41,1038,R_19jwhhIIvXpmk81,34,-85,1,1,11,2,3,1,3,11,11,5,50,7,15,17,7,1,5,5,1,5,1,"1,2","1,2",5,5,5,"1,2",5,5,,4,4,4,4,4,4,4,,,,,,,,,50,,,30,,35,0,70,,,,0,,,"1,2",,,3,,3,3,3,,,,3,,,3,,,,,,,20,50,,,,0,,,,,,,,,3,3,,,,3,,,,1,4,4,2,3,1,4,1,4,4,4,4,4,4,15,,3,90,65,61,64,90,90,5,1,8,"1,3,4,8",,2,3,3,2,,2,2,1,2,2,1,1,5,2,7,2,1,6,6,5,7,6,5,5,7,1,"2,4,5",8,2,1,30144,398,431,2,65b1a2c5-ebb3-6d2d-441f-a8d6a78d1136
35.146.106.223,962,R_1AJvP7Ys44oFGtr,33,-97,1,1,45,1,3,2,12,3,3,20,70,15,10,20,20,"1,2",1,"1,2","1,2","1,2","1,2",5,5,5,5,1,1,"1,2",5,Blu Apron hello fresh,2,"1,2",1,4,1,4,4,,,,,,1,1,,160,150,0,26,80,0,,,,,235,0,0,,2,2,3,2,2,3,,,,,2,3,3,,4,169,,0,34,150,0,,,,,,,39,,2,,3,2,2,3,,,,,,,3,,4,1,2,2,2,1,1,4,4,4,4,2,2,2,4,15,,3,61,61,60,65,92,97,5,1,8,"6,7",,2,3,3,2,,2,2,4,2,2,4,5,6,6,7,6,6,6,6,7,6,6,6,6,7,6,"2,4,5",3,3,2,75215,2567,25,3,65ab2f5a-831e-b9fc-6792-e5cfe4afb7da
71.208.189.108,788,R_1AL8PBVyyy4G0Mp,27,-82,1,1,10,2,6,1,12,5,6,5,10,10,20,10,20,"1,2","1,2",5,5,5,2,2,"1,2",5,5,5,5,"1,2","1,2",,4,4,2,4,4,4,4,,,2,,,,,,50,50,,,,,,0,,,,,10,0,3,3,,,,,,3,,,,,3,3,,50,60,,,,10,10,10,,,,,10,20,3,3,,,,3,3,3,,,,,3,3,,2,2,4,4,4,4,1,1,1,1,4,4,2,2,21,posting on social media,3,30,30,60,80,60,60,5,1,8,"1,5,6,7,8",,2,3,2,2,,2,1,1,1,2,4,4,3,6,6,5,6,5,5,3,7,6,7,7,7,6,"3,4,6",7,2,1,33901,330,42,2,65961a5b-fb35-d8a9-0c5d-fbb5a8bd10cc
207.179.194.114,543,R_1ALQKUa3gKz84r6,41,-89,1,1,14,1,3,1,12,10,10,20,40,20,10,50,15,"1,2",5,5,"1,2","1,2",2,"1,2",5,5,5,5,"1,2","1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,120,,,50,50,,30,,,,,30,25,40,1,,,3,2,,3,,,,,1,1,3,4,150,,,40,100,75,30,,,,,30,40,40,1,,,3,2,3,3,,,,,3,2,2,1,2,1,4,3,2,3,3,4,4,4,4,4,3,2,15,,3,31,49,40,40,20,20,5,1,8,"2,5,6",,2,3,3,2,,2,2,1,2,1,3,3,3,6,5,5,6,6,6,6,5,6,5,6,7,6,"3,4,7",7,2,1,61571,609,699,2,65afbaff-c2a3-013f-03be-e6edc1ead41d
8.225.193.25,1314,R_1AMUxUWpSU0hClu,40,-75,1,1,39,1,5,1,12,10,11,25,100,60,80,80,40,1,"1,2",1,"1,2","1,2",1,1,5,5,5,5,1,1,1,,4,4,4,4,4,4,4,,,,,,,,,50,380,80,50,100,25,50,,,,,70,60,50,2,1,1,1,2,1,1,,,,,1,2,2,2,,200,,50,100,,,,,,,,,,,1,,1,2,,,,,,,,,,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19,Social media ,3,100,77,193,151,116,95,5,1,8,5,,2,2,2,1,2,1,1,4,2,1,4,4,4,5,5,5,5,4,5,5,4,4,4,4,7,4,"4,5,7",5,2,1,19154,2283,2334,2,65a150d6-19aa-1d80-7ce6-f45b96bb0e26
50.4.118.115,1530,R_1ANCSsscFLQFLcT,43,-83,1,1,23,1,7,1,12,2,2,0,0,15,0,40,5,5,5,5,5,5,5,"1,2",5,5,5,5,5,"1,2",5,,4,4,4,4,4,4,4,,,,,,,,,,,,,,,60,,,,,,6,,,,,,,,3,,,,,,3,,,,,,,,,45,,,,,,5,,,,,,,,3,,,,,,3,,,4,4,4,4,4,4,1,4,4,4,4,1,4,4,15,,3,20,19,60,60,20,20,5,1,8,1,,2,3,1,1,2,1,1,1,4,5,4,4,4,6,7,6,4,6,6,1,6,5,5,5,7,4,"3,4,5",4,1,1,48021,1254,1304,2,659762d8-9f93-42ed-c6c6-a16328074c0d
68.61.56.120,953,R_1AO7mutToR0GoY9,43,-84,1,1,23,1,5,1,12,3,3,20,30,25,35,0,0,5,"1,2",5,5,5,5,5,"1,2",5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,,80,,,,,,30,,,,,,,,3,,,,,,3,,,,,,,,,70,,,,,,20,,,,,,,,3,,,,,,3,,,,,,,,4,2,4,4,4,4,4,2,4,4,4,4,4,4,15,,3,59,61,88,85,27,33,5,1,4,1,,2,3,3,2,,2,2,1,1,5,4,6,6,7,7,4,7,7,7,7,7,7,7,7,7,5,"4,5,6",7,1,1,48473,1254,1279,2,6599abec-9702-c557-f7fd-5c1e3b787274
162.245.50.160,636,R_1AZ300xC0cvHuut,37,-95,1,1,37,2,3,1,"1,12",7,8,20,50,75,5,30,50,1,5,5,5,5,1,5,5,5,5,5,1,1,1,,4,4,4,4,"1,2",4,4,,1,,,,,,,250,,,,,45,,,,,,20,350,100,3,,,,,3,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,4,2,4,4,4,4,4,3,2,2,15,,3,82,42,120,77,189,74,4,1,8,"1,2",,2,3,3,2,,2,2,4,1,2,4,5,2,3,6,3,2,7,2,6,5,4,5,6,7,6,"1,4,7",7,4,3,74331,2168,977,1,659b6efa-ea01-396c-5635-11682495dcdf
75.135.157.87,846,R_1AZITuF1mhPPWcV,43,-86,1,1,23,3,2,1,12,3,4,30,35,5,25,35,25,"1,2","1,2",5,1,5,"1,2",5,5,5,5,5,1,"1,2","1,2",,"1,2",4,4,4,4,4,2,,,,,2,,,,100,20,,5,,50,,,,,,0,70,40,1,1,,3,,3,,,,,,3,1,3,,0,0,,,,100,,,,,,,25,30,3,3,,,,3,,,,,,,1,3,,1,3,3,2,4,2,4,1,4,4,4,1,1,1,19,I saw it in town,3,79,60,106,125,89,49,5,1,"3,7","1,2,4,11",2,2,1,1,1,2,1,1,1,2,3,3,3,3,4,7,1,5,7,6,3,6,6,6,7,7,5,4,5,2,1,49348,1254,1257,2,659bb7ac-4c59-4b72-b236-9e38ac6548e3
172.56.224.168,560,R_1AeiSKxwSxHGNNv,34,-87,1,1,1,1,3,2,12,9,9,20,70,30,10,20,40,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",5,5,"1,2","1,2","1,2",,"1,2","1,2","1,2","1,2",4,4,4,,,1,1,,,,,400,200,100,200,100,100,100,50,50,,,100,100,100,1,1,1,1,1,1,1,1,1,,,1,1,1,,50,50,50,50,50,50,50,50,50,,,50,50,50,1,1,1,1,1,1,1,1,1,,,1,1,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,,3,42,46,57,62,53,69,5,1,8,1,,2,2,1,1,1,1,1,4,4,4,4,5,2,4,5,6,1,4,6,6,6,6,3,1,7,1,"1,3,7",7,4,3,35672,1,41,1,65aaef15-0c62-016d-f972-37907d5ef487
173.17.255.187,972,R_1AgH0bQuihp01r3,42,-94,1,1,16,2,7,1,12,2,2,0,100,10,25,40,25,"1,2","1,2",5,5,5,5,5,5,5,5,5,5,5,5,,"1,2",4,4,4,4,4,4,,,,,,,,,150,40,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,125,30,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,4,4,4,4,15,,3,42,41,35,34,19,28,5,1,8,8,,2,3,3,2,,2,2,3,1,5,4,2,1,7,7,4,7,7,7,4,7,7,7,4,7,4,"4,5,7",2,1,1,50312,805,172,3,6596d92d-374d-17bb-c720-e62b9875535d
204.107.216.77,1500,R_1B2L3yckttPI3Lj,38,-98,1,1,17,1,7,1,12,11,11,5,10,5,10,5,5,5,"1,2",5,5,5,"1,2",5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,,20,,,,20,,,,,,,,,,3,,,,3,,,,,,,,,,,15,,,,25,,,,,,,,,,3,,,,3,,,,,,,,,,4,2,4,4,4,2,4,2,4,4,4,4,3,2,15,,3,40,40,28,32,59,59,5,3,"5,6",1,,2,2,3,2,,2,2,4,2,5,1,2,2,6,7,1,1,3,2,1,5,5,1,2,7,1,"1,3,4",4,3,1,67546,905,962,1,6596c289-cca5-652c-b236-00139d79fa24
172.58.242.199,559,R_1B2NYK8kDNoBphs,39,-77,1,1,9,2,4,1,3,11,11,40,80,40,30,40,30,"1,2","1,2","1,2","1,2",5,"1,2",5,5,5,5,2,5,"1,2","1,2",Blue Apron,4,4,4,4,"1,2",4,4,,1,,,,,,,100,250,100,100,,100,,,,,,,100,100,3,3,3,3,,3,,,,,,,3,3,,300,300,300,100,,100,,,,,150,,100,100,3,3,3,3,,3,,,,,3,,3,3,,1,1,1,1,2,1,2,2,2,2,3,2,2,2,15,,3,68,51,116,142,130,126,5,1,8,1,,2,2,2,1,1,1,1,4,1,2,1,6,7,6,7,7,7,7,7,6,6,6,7,7,7,7,5,8,3,2,20018,328,329,3,659a2390-de24-55e1-5b2b-2eb19dcb35be
75.88.99.51,770,R_1B36Vs6iAogoCrj,40,-76,1,1,39,2,6,1,12,2,2,6,30,10,20,100,25,"1,2","1,2","1,2",5,5,"1,2","1,2","1,2","1,2",5,5,"1,2","1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,200,100,40,,,10,45,20,10,,,15,25,30,3,3,3,,,3,3,3,3,,,3,1,1,,200,100,30,,,10,45,20,10,,,40,25,30,3,3,3,,,3,3,3,3,,,3,1,1,,2,3,2,2,3,2,2,2,2,4,4,3,2,3,20,Driving by and see the new restaurant,3,19,19,12,14,89,93,5,1,8,6,,2,1,1,1,2,1,1,4,1,5,4,6,2,7,7,7,6,7,6,6,6,6,7,6,7,2,"1,2,4",2,3,1,16648,2283,2290,1,6599c08b-6253-25ed-672b-047335ca8b0c
173.218.86.121,2162,R_1B3xJCp3SsblqRa,37,-93,1,1,26,2,7,1,12,4,4,5,10,7,15,25,10,"1,2","1,2",5,5,5,5,5,5,5,5,5,5,"1,2","1,2",,"1,2",4,4,4,4,4,4,,,,,,,,,60,0,,,,,,,,,,,10,25,3,3,,,,,,,,,,,3,3,,50,0,,,,,,,,,,,10,20,3,3,,,,,,,,,,,3,3,,3,4,4,4,4,4,4,4,4,4,4,4,4,4,15,,3,61,51,75,56,40,40,1,1,8,1,,2,2,2,1,2,1,2,1,4,5,4,4,1,4,7,4,1,3,2,2,5,5,4,7,7,1,"4,5,7",4,2,1,65737,1509,184,2,659778c6-88a8-888b-eb87-973c5fc77dd5
104.50.224.155,2317,R_1B96ZsRe54DPodp,33,-80,1,1,42,1,4,2,12,12,12,25,35,20,20,23,22,1,2,1,2,1,"1,2",5,2,5,5,5,"1,2","1,2",5,,"1,2",1,4,2,4,4,4,,,,1,,,,,35,,40,,50,40,,,,,,45,35,,1,,2,,1,2,,,,,,1,2,,3,,35,,31,,45,,43,,,,33,31,,,1,,2,,1,,2,,,,1,2,,1,2,1,2,2,2,2,2,3,2,2,2,2,1,2,"18,19,20",very ubique,3,44,53,120,131,131,123,5,2,8,"2,3,4",,2,3,3,2,,2,2,1,2,1,2,5,5,5,4,4,5,4,4,5,5,5,4,4,7,5,"1,2,4",8,5,4,29412,2357,2367,3,65b765f4-4276-ea37-b31f-57b2f7dfb698
73.64.201.22,19074,R_1BMLMpf8QbEjerT,40,-76,1,1,39,1,4,1,12,4,4,15,20,16,25,20,0,1,5,5,5,5,"1,2",5,5,5,5,5,5,5,5,,4,4,4,4,"1,2",4,4,,1,,,,,,,292,,,,,10,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,1,,,,,,,,,,2,4,4,2,4,2,4,4,4,4,4,4,4,4,15,,3,101,66,123,164,170,169,5,3,8,1,,2,3,3,2,,2,2,4,2,5,4,6,6,7,6,7,2,7,7,7,4,7,7,4,7,7,"2,4,5",3,4,1,17368,2283,1213,1,6597e773-a3ff-ab33-3f0f-145727b648d4
67.190.65.7,806,R_1BOSlRIN3VBl89d,40,-105,1,1,6,2,5,1,12,1,3,40,60,50,30,25,0,1,1,5,1,1,1,5,5,5,5,5,5,1,5,,1,4,4,4,4,4,4,,,,,,,,,70,60,,25,75,20,,,,,,,50,,3,3,,3,2,"2,3",,,,,,,"2,3",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,2,2,2,4,4,4,4,4,4,2,4,15,,3,35,35,91,91,91,90,5,1,8,"1,6",,2,1,1,1,2,1,1,1,2,5,6,4,5,7,7,4,4,4,7,7,7,4,4,4,7,4,"2,4,5,7",3,2,1,80020,250,258,2,659a66e1-56a7-fa96-b31f-b2fe43d75454
73.149.97.107,1912,R_1BR6LABzkfswc8u,43,-71,1,1,30,1,4,1,12,6,6,12,50,20,20,20,20,"1,2","1,2","1,2","1,2",5,5,"1,2",5,5,5,5,5,5,5,,4,4,"1,2","1,2","1,2",4,"1,2",,2,1,3,3,,,,250,0,0,0,,,0,,,,,,,,1,3,3,3,,,3,,,,,,,,,0,0,0,0,,,0,,,,,,,,3,3,3,3,,,3,,,,,,,,,2,4,4,4,4,4,4,4,4,4,4,4,4,4,15,,3,61,61,91,91,91,91,5,3,4,"1,6",,2,3,3,2,,2,2,1,1,1,4,1,1,1,1,1,1,1,4,7,7,7,1,1,7,1,"4,5,7",3,7,5,3034,1794,1802,1,659b50b8-e618-ed75-b4fe-51e2deb0ac28
69.122.248.88,725,R_1BWRN36BDwdTJX6,41,-73,1,1,33,2,7,1,12,4,4,5,45,5,20,20,5,"1,2","1,2",5,5,"1,2","1,2",5,5,5,5,5,5,2,"1,2",,4,4,4,4,4,4,4,,,,,,,,,0,0,,,0,0,,,,,,,,0,3,3,,,3,3,,,,,,,,3,,0,0,,,0,0,,,,,,,0,0,3,3,,,3,3,,,,,,,3,3,,2,2,4,4,2,2,4,4,4,4,4,4,2,2,15,,3,28,28,122,122,59,56,5,1,8,8,,2,3,3,2,,2,2,1,1,5,4,1,1,2,5,4,4,6,4,4,7,4,5,5,7,4,"4,5,7",3,1,1,11931,1861,1252,2,6596b8c9-ecf8-8df2-9647-a9899d869d02
76.136.127.122,509,R_1BbrI8fj7Q3m3hA,42,-87,1,1,15,2,4,1,"1,12",5,5,40,70,50,30,10,200,1,1,2,1,1,1,1,2,5,5,5,1,2,1,,4,4,2,4,1,4,1,,,3,,,2,2,,100,100,,50,100,50,0,,,,,20,,0,3,3,,3,3,3,3,,,,,3,,3,,,,0,,,,,0,,,,,60,,,,3,,,,,3,,,,,3,,,2,2,2,2,2,2,2,4,4,4,4,2,2,4,19,Word of mouth ,3,120,85,231,131,158,150,5,1,8,11,2,2,2,3,2,,1,2,4,1,1,4,4,5,5,5,4,4,6,4,4,5,5,5,5,7,5,"1,3,4",4,6,5,46342,712,208,2,6596270b-9e01-07de-cd7c-fa9a5d325743
162.40.209.5,762,R_1Bgt5BvWcfNxpQw,31,-83,1,1,11,2,6,1,12,1,1,20,20,20,20,0,0,1,1,2,1,2,1,2,1,2,1,2,1,2,1,Hello fresh,2,4,2,1,4,4,4,,,1,,,,,,20,20,,20,,20,,20,,0,,20,,20,1,3,,1,,1,,1,,3,,3,,3,,,,0,,0,,20,,0,,20,,20,,,,3,,3,,1,,3,,1,,1,,,1,1,3,1,3,1,2,2,3,1,2,2,2,2,21,News,3,59,60,134,139,130,145,1,1,7,5,,2,2,2,1,2,1,2,4,2,1,2,5,3,6,5,5,5,5,3,5,4,5,5,3,7,5,"3,4,5",3,4,1,31533,398,17,2,659a2081-22bf-88d8-166a-26f4e9594cde
65.25.26.109,710,R_1Blf8Mpz1vQRWAr,41,-82,1,1,36,1,7,1,12,11,11,4,10,10,20,20,5,5,"1,2",5,5,5,5,5,5,5,5,5,5,"1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,,100,,,,,,,,,,,0,30,,3,,,,,,,,,,,3,3,,,100,,,,,,,,,,,0,25,,3,,,,,,,,,,,3,3,,4,2,4,4,4,4,4,4,4,4,4,4,2,2,15,,3,22,21,57,59,64,57,5,1,8,1,,2,3,3,2,,2,2,4,2,5,4,1,1,3,7,1,1,5,1,1,3,4,2,2,7,1,"4,5,7",5,2,1,44070,2079,2097,2,6596b36c-c0b4-ee89-3e6a-4510d4860ade
75.140.222.241,2008,R_1BmMhxJzxatK4FY,35,-79,1,1,34,1,7,6,12,4,4,0,0,0,0,0,0,1,5,5,5,5,1,5,1,5,5,5,5,1,1,,4,4,4,4,4,4,4,,,,,,,,,140,,,,,150,,30,,,,,20,0,3,,,,,3,,3,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,2,4,2,4,2,4,4,4,4,2,2,15,,3,119,120,90,91,124,127,5,2,8,"1,2,6,7",,2,3,3,2,,2,2,3,4,5,6,4,4,5,7,7,4,7,7,7,7,7,7,7,7,4,"3,4,5",3,2,1,27332,1924,42,2,65973ba8-7d78-090e-d235-4c10c84a6b15
97.103.173.44,511,R_1BxGmj8NrY5ArF2,28,-81,1,1,10,2,5,1,2,8,8,10,45,20,15,20,15,"1,2",5,5,5,5,"1,2",5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,0,,,,,0,,,,,,,,,3,,,,,3,,,,,,,,,,75,,,,,25,,,,,,,,,3,,,,,3,,,,,,,,,,1,1,4,4,4,1,4,4,4,4,4,4,4,4,15,,3,43,42,40,41,45,45,5,2,8,1,,2,2,2,2,,2,2,4,2,2,2,5,6,6,6,7,5,6,7,4,6,6,6,5,7,5,"3,4,5",7,4,2,32931,330,335,2,659ae3a6-bc29-8c1e-3333-ac696c29e3b7
73.98.85.136,697,R_1BxfoLMuxLWUacN,36,-106,1,1,32,1,4,1,12,9,9,7,5,12,12,22,6,"1,2","1,2",5,5,5,"1,2","1,2",5,5,5,5,"1,2",5,"1,2",,"1,2",4,4,4,4,4,4,,,,,,,,,4,40,,,,4,10,,,,,4,,0,3,3,,,,3,3,,,,,3,,3,,4,40,,,,4,10,,,,,4,,0,3,3,,,,3,3,,,,,3,,3,,2,2,4,4,4,2,2,4,4,4,4,2,4,2,15,,3,8,9,21,21,59,59,5,1,3,7,,2,3,3,2,,2,2,1,2,2,4,2,2,5,6,3,6,6,7,2,6,7,6,7,7,4,"3,4,7",7,1,1,87507,1827,1854,3,659b6343-a0ae-388b-beb2-03b1f4473d0e
76.238.223.229,626,R_1C1EXiZnTpoemWY,44,-88,1,1,51,2,4,1,12,1,1,0,40,0,5,60,3,"1,2","1,2",1,5,"1,2","1,2",5,5,5,5,5,5,5,5,,4,4,4,4,"1,2",4,4,,2,,,,,,,60,100,0,,0,0,,,,,,,,,3,3,3,,3,3,,,,,,,,,,100,100,,,0,30,,,,,,,,,3,3,,,3,3,,,,,,,,,,2,1,1,4,1,2,4,4,4,4,4,4,4,4,15,,3,40,40,90,90,90,72,5,1,1,1,,2,3,3,2,,2,2,5,3,5,4,4,4,4,5,3,4,5,4,4,5,5,5,7,7,4,5,3,1,1,54935,3097,3117,2,65969cb5-a7df-8c2a-ee18-8e95445f8232
